:::MLLOG {"namespace": "", "time_ms": 1719785156424, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.633796691894531, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 56.0, "gpu_power_draw": 330.37, "ondemand_cost": 0.4269763585408528, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1874188232866923, "spot_cost": 0.14704454332987466, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785176323, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 16.668108224868774, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80200, "gpu_temperature": 56.0, "gpu_power_draw": 332.13, "ondemand_cost": 0.45522455574141607, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.19981820740573936, "spot_cost": 0.15677281791501574, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785194755, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.666820526123047, "gpu_utilization": 84, "gpu_memory_utilization": 19.810198751823833, "gpu_memory_used": 16157, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 332.18, "ondemand_cost": 0.42787827614678275, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1878147148460812, "spot_cost": 0.14735515083736844, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785213922, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.646710634231567, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80160, "gpu_temperature": 57.0, "gpu_power_draw": 328.14, "ondemand_cost": 0.4273290526549021, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1875736363448699, "spot_cost": 0.1471660061319669, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785233365, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.641484022140503, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80160, "gpu_temperature": 57.0, "gpu_power_draw": 330.98, "ondemand_cost": 0.42718630807134833, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1875109794287549, "spot_cost": 0.14711684694157706, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785251749, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.641120672225952, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 329.6, "ondemand_cost": 0.42717638458145984, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18750662356979314, "spot_cost": 0.14711342943376965, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785270277, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.666522026062012, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 330.81, "ondemand_cost": 0.4278701237784492, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18781113641076616, "spot_cost": 0.14735234327846103, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785288724, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.657202005386353, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 330.21, "ondemand_cost": 0.4276155836582184, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18769940748512745, "spot_cost": 0.1472646833062172, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785307122, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.676727294921875, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 327.8, "ondemand_cost": 0.4281488410101996, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1879334777408176, "spot_cost": 0.14744832950168185, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785325720, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.659514904022217, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 331.56, "ondemand_cost": 0.42767875148985124, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18772713464246857, "spot_cost": 0.1472864374028312, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785344093, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.665988445281982, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 331.03, "ondemand_cost": 0.427855551094479, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18780473981473178, "spot_cost": 0.14734732465479108, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785362470, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.654853582382202, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 332.4, "ondemand_cost": 0.4275514456166161, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18767125445968572, "spot_cost": 0.1472425950831837, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785380921, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.695289373397827, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 332.15, "ondemand_cost": 0.42865579199790954, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1881560009688139, "spot_cost": 0.147622916162014, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785399449, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.665153741836548, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 329.8, "ondemand_cost": 0.4278327544159359, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.1877947333434555, "spot_cost": 0.14733947380516263, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785417833, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.657217979431152, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 330.68, "ondemand_cost": 0.4276160199271308, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18769959898286395, "spot_cost": 0.14726483355098302, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785437089, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.624351739883423, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80140, "gpu_temperature": 58.0, "gpu_power_draw": 331.62, "ondemand_cost": 0.42671840640703834, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18730559667726357, "spot_cost": 0.14695570830901464, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785455551, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.659637928009033, "gpu_utilization": 84, "gpu_memory_utilization": 19.810198751823833, "gpu_memory_used": 16157, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 329.51, "ondemand_cost": 0.4276821114116245, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18772860946085718, "spot_cost": 0.14728759451177387, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785474763, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.625965356826782, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80140, "gpu_temperature": 57.0, "gpu_power_draw": 335.63, "ondemand_cost": 0.42676247607866924, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18732494080682596, "spot_cost": 0.1469708852728208, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
:::MLLOG {"namespace": "", "time_ms": 1719785493087, "event_type": "INTERVAL_END", "key": "image_generation", "value": {"duration": 15.639731645584106, "gpu_utilization": 84, "gpu_memory_utilization": 16.185828663912012, "gpu_memory_used": 13201, "gpu_memory_free": 80120, "gpu_temperature": 57.0, "gpu_power_draw": 328.9, "ondemand_cost": 0.42713844872050816, "reserved_one_year_cost": 0.0, "reserved_three_year_cost": 0.18748997184124258, "spot_cost": 0.14710036486652162, "image_size": [1024, 1024], "instance_type": "p5.48xlarge"}, "metadata": {"file": "/home/ubuntu/benchmarking-sd/benchmark.py", "lineno": 105}}
