INFO:root:Metrics for image 24: {'duration': 19.554377555847168, 'gpu_utilization': 79, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 320.77, 'ondemand_cost': 0.17801544878827205, 'reserved_one_year_cost': 0.10958599088589352, 'reserved_three_year_cost': 0.06789171251959272, 'spot_cost': 0.03366068825377359, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 25: {'duration': 20.569512605667114, 'gpu_utilization': 100, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39705, 'gpu_temperature': 53.0, 'gpu_power_draw': 325.04, 'ondemand_cost': 0.1872568435070912, 'reserved_one_year_cost': 0.11527497689425946, 'reserved_three_year_cost': 0.0714162050161759, 'spot_cost': 0.03540813044925531, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 26: {'duration': 19.543174028396606, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 331.01, 'ondemand_cost': 0.17791345623128946, 'reserved_one_year_cost': 0.10952320445080599, 'reserved_three_year_cost': 0.06785281449470255, 'spot_cost': 0.03364140262610383, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 27: {'duration': 19.536036729812622, 'gpu_utilization': 82, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 328.73, 'ondemand_cost': 0.17784848104059697, 'reserved_one_year_cost': 0.10948320583999158, 'reserved_three_year_cost': 0.06782803419053554, 'spot_cost': 0.033629116559624674, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 28: {'duration': 19.561315298080444, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 54.0, 'gpu_power_draw': 323.51, 'ondemand_cost': 0.17807860729555292, 'reserved_one_year_cost': 0.10962487114965916, 'reserved_three_year_cost': 0.06791579997519652, 'spot_cost': 0.03367263080616792, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 29: {'duration': 19.536911249160767, 'gpu_utilization': 80, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 318.76, 'ondemand_cost': 0.17785644232465161, 'reserved_one_year_cost': 0.10948810679217179, 'reserved_three_year_cost': 0.06783107047312789, 'spot_cost': 0.033630621947513685, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 30: {'duration': 19.54549288749695, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 54.0, 'gpu_power_draw': 323.11, 'ondemand_cost': 0.1779345662227604, 'reserved_one_year_cost': 0.10953619972368081, 'reserved_three_year_cost': 0.06786086544467343, 'spot_cost': 0.03364539428439405, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 31: {'duration': 19.539236307144165, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 327.52, 'ondemand_cost': 0.17787760874834327, 'reserved_one_year_cost': 0.10950113680462042, 'reserved_three_year_cost': 0.06783914294527638, 'spot_cost': 0.03363462427649233, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 32: {'duration': 19.541527032852173, 'gpu_utilization': 81, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 324.12, 'ondemand_cost': 0.17789846262435122, 'reserved_one_year_cost': 0.10951397441327572, 'reserved_three_year_cost': 0.06784709621767203, 'spot_cost': 0.03363856750627359, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 33: {'duration': 19.544196605682373, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39691, 'gpu_temperature': 54.0, 'gpu_power_draw': 314.68, 'ondemand_cost': 0.17792276537723015, 'reserved_one_year_cost': 0.10952893514434497, 'reserved_three_year_cost': 0.0678563648262289, 'spot_cost': 0.033643162879281575, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 34: {'duration': 19.552467346191406, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 53.0, 'gpu_power_draw': 317.3, 'ondemand_cost': 0.1779980589824253, 'reserved_one_year_cost': 0.10957528575261434, 'reserved_three_year_cost': 0.06788508037779066, 'spot_cost': 0.03365740004009671, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 35: {'duration': 19.541216373443604, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 320.36, 'ondemand_cost': 0.17789563450190757, 'reserved_one_year_cost': 0.10951223342617353, 'reserved_three_year_cost': 0.06784601762546434, 'spot_cost': 0.033638032740619446, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
INFO:root:Metrics for image 36: {'duration': 19.533620357513428, 'gpu_utilization': 78, 'gpu_memory_utilization': 31.80419921875, 'gpu_memory_used': 13027, 'gpu_memory_free': 39671, 'gpu_temperature': 54.0, 'gpu_power_draw': 319.52, 'ondemand_cost': 0.17782648332688547, 'reserved_one_year_cost': 0.10946966408689818, 'reserved_three_year_cost': 0.06781964468015565, 'spot_cost': 0.03362495704319742, 'image_size': (1024, 1024), 'instance_type': 'p4d.24xlarge'}
